text,label,label_id
why can't i see a transfer to my account?,5,5
i can't use the app because i got mugged yesterday and they took everything. please help.,42,42
my exchange rate looks wrong for my last payment,17,17
where should i look for my pin number at?,38,38
says that my topup is incomplete?,47,47
it appears my topups have been canceled.,61,61
when will my returned transaction show up on my account?,51,51
how do i change to a different currency?,33,33
can i get a card outside the uk?,24,24
can i get some money exchanged?,33,33
limits on top ups,60,60
what reasons could cause my top up to be reverted,61,61
are purchases returnable for full refund?,52,52
i haven't received my cash yet.,75,75
how often am i able to topup?,60,60
is there a reason to why i was charged twice for a transaction?,63,63
"when considering currency holdings and exchanges, what fiat currencies are supported?",36,36
where do i go to top up with cash?,58,58
"hi, i am on vacation in spain and someone stole my bag with my phone and wallet with cards and everything. can you block it asap and then i want to order a new one also asap.",41,41
why do i see an extra fee on my statement?,34,34
"how long do transfers take, mine just says pending?",48,48
i withdrew some cash out of the atm over the holiday. it seems that i was charged some outrageous fees. i would not have done that had i been aware of these outrageous charges!,76,76
when should i expect my card to arrive?,12,12
what are the top up charges for us cards?,57,57
oh my god i lost my card! what should i do?,41,41
i have moved. where can i update my details?,30,30
"can you please assist me in apple pay, in getting top up to work?",2,2
is there a reason why my transaction is taking so long?,66,66
who do i contact if there is a direct debit that i did not create.,28,28
i attempted to top up but the app denied it.,59,59
how do i top up my account using transfer?,65,65
"i am adding money, what currencies do you accept to do this?",54,54
my id won't be verified!,68,68
why has my payment been reversed?,53,53
i have a pending transfer,48,48
what is the max amount of disposable cards i'm allowed.,29,29
the terminal i paid at wouldn't take my card. is something wrong?,23,23
"i bought something while traveling, and the exchange rate was wrong.",17,17
i can't use my card for anything,14,14
what is your shipping policies for cards?,12,12
how come my refund hasn't appeared on my statement?,51,51
there's a cash withdrawal that didn't make that is showing up.,20,20
i sent some money but the intended recipient says it hasn't arrived,66,66
is there a way i can get a visa card?,73,73
"i can't figure out how to change gbp to aud, what do i do?",33,33
if i have a physical card can i link it?,13,13
what happened to my cash deposit?,6,6
why did my transfer to a beneficiary fail?,7,7
"i received cash from the atm earlier, but this shows up as pending in the app. i've got the cash already. how can this be still pending?",46,46
i have foreign currency i would like to change how much will it cost me?,31,31
what do i do if i have exceeded all my pin tries?,49,49
how can you transfer my salary to my correct currency?,50,50
"i would like to close my account, as i'm not happy.",55,55
help me activate my new card.,0,0
"who do i talk to, to cancel a transfer?",8,8
an unauthorized payment is in my app,16,16
"hi, my card is getting declined continuously when i am trying to topup. request you to look into this issue or tell me any other alternatives.",59,59
"i put cash in my account, but i don't see it.",6,6
which locations can i withdraw money from?,3,3
i noticed an extra fee when i paid with my card.,15,15
"there was an extra fee when i paid with my card, why was i charged this extra fee?",15,15
will there be a charge for sending out more cards?,39,39
"i am getting charged fees on some payments. please help me understand, where are these fees disclosed?",15,15
tell me if there are any topup limits?,60,60
transferring money in 2018 to another country shouldn't take this long. my transfer has been pending for too long. i verified my account details are correct.,48,48
can i top up with cash,58,58
i didn't cancel my card payment.,53,53
my card payment doesn't work.,25,25
"there are incorrect charges on my account, there was a wd that was made by someone else. i still have my card though.",20,20
can you tell me what currency i can have?,36,36
do i have to pay more for exchanges?,31,31
when i topped up the app has seemed to reverted it.,61,61
what's the limit to how much i can top up?,60,60
why did i get less money than i asked for?,75,75
where can i located the autotop up option?,4,4
how long until the money is in my account?,67,67
there is the same transaction showing more than once.,63,63
i need to add my new address now that i've moved.,30,30
i tried using my credit card with top up but it didn't work! i thought it was supposed to?,59,59
tell me how to change my details.,30,30
when do i get my card pin?,38,38
my transfer failed,35,35
can i get some help to get me card activated?,0,0
how high is the exchange fee?,31,31
i wanted to know why there is a transfer of mine pending.,48,48
"someone has a copy of my card !! i definitely still have it here but someone just made a 500 cash withdrawal, help!",20,20
what's the process of changing from gbp to aud?,33,33
i want one of those virtual cards!,40,40
at what atms am i able to use the card?,3,3
"i have a strange transaction for 1 on my statement, what is that?",34,34
can i change or hold different currency?,36,36
i found the exchange rate for my cash withdrawal is wrong,76,76
there is a payment i don't recognise!,28,28
i need my card as quick as possible,12,12
why does my transfer say it is pending?,48,48
"since my id hasn't been verified, when can i use my account?",74,74
how many days until the money will be in my account?,67,67
my cash transaction isn't showing on my receipt,66,66
google pay top up did not work,2,2
why was i charged a fee for withdrawing cash?,19,19
can i change my pin in austria?,21,21
"i tried using my card, but it doesn't work.",14,14
i did a transaction this morning and now i want to cancel it.,8,8
i didn't see any reason why my transfer was declined. what gives?,27,27
how do i fix a transaction to the wrong account?,8,8
i can't log in,44,44
i purchased something about one to two weeks ago but for some reason the payment was returned to my account today even though i've already received one of the items. can you tell me what's going on?,53,53
"left my phone at hotel, cant use app",42,42
i'm still waiting for my card that was issued a week ago. what should i do?,11,11
what can i use my card to pay for?,10,10
i don't remember my passcode?,44,44
who do i call to activate my new card?,0,0
"why are all my transfers failing? i have the details right and they won't complete. i've been trying all day and they still won't go through, this is urgent, please help.",27,27
where's the verification code for the topup card?,71,71
"is my card working? it's the first time i tried using it i tried to get money out of an atm, but got nothing.",26,26
i deposited a check a few days ago and it's still not gone in! please help me with this,6,6
i tried to top up with my card but it's not working. i had just done this a couple days previously and it worked. can you tell me what's going on here please?,59,59
why hasn't a transaction i did to my friend arrived yet?,66,66
my card payment still pending,45,45
"i signed up, but don't have a pin. where can i find it?",38,38
"i think my card is expiring, what happens then?",9,9
why should i verify the topup?,71,71
where do i go to unblock my pin?,49,49
machines make mistakes too! the atm gave me the wrong amount of money. too much!,75,75
why can't my transfer complete?,35,35
when will my card payment be done pending?,45,45
i need to make multiple disposable cards in a day.,29,29
i've already tried 5 times to complete a transfer that's just standard. what's the deal? is your system down at this time?,35,35
please list what fiat currencies are supported for both holding and exchanging.,36,36
i was charged 1 in a transaction.,34,34
i did not ask for the amount of cash that i received.,75,75
i checked the app and there is a payment that i don't recognize.,16,16
"recently, a few weeks ago there was a transaction made on my account by some seller that i don't recognize. i am very certain that didn't happen and will like for you to trace back to make sure.",28,28
how can i find out about an extra fee on my statement?,34,34
my first choice would be mastercard.,73,73
are us credit cards accepted?,54,54
is there a problem that makes my payments show pending?,45,45
at what age can a person open an account?,1,1
is my currency okay to add money with?,54,54
i need to update my demographics.,30,30
how can i start using my card?,0,0
what countries are supported?,24,24
how old must i be to open an account?,1,1
i have been charged way to much so something is apparently wrong with my exchange. i changed russian ruble into uk pounds.,17,17
can i have a duplicate second card?,39,39
why was i charged for card payment?,15,15
is there an option to top up a with cheque?,58,58
waiting for the cash i deposited this morning still,6,6
my cash withdrawal isnt showing on my account,46,46
how come my card doesn't work anymore?,14,14
why was my cash withdrawal declined by the atm?,26,26
"i was charged a fee when i transferred my funds, why?",64,64
why are topups being verified?,71,71
which countries does your service work in?,24,24
"it seems you keep declining my transfers. before, it's always worked very well.just now when i tried to buy something the card was declined. i tried more than once and it was the same thing each time.",27,27
"you can activate your card in a few seconds by going to account, hitting activate, and just following the directions.",0,0
a transfer could not be completed.,35,35
can you tell me why my refund is not showing in my statement?,51,51
i would like a virtual card where can i purchase one?,40,40
are there cash machines where i can change my pin?,21,21
is my account able to be topped up by my friends?,62,62
i tried the wrong pin too many times.,49,49
i want to transfer money into my account,65,65
how do i know when my new card is going to arrive?,11,11
what are exchange rates based on,32,32
my phone is not with me at the moment so i will not be able to access the app.,42,42
what is this extra fee while i was doing a transfer?,64,64
"hello, i'd like to inform you of an issue i'm currently experiencing. the goods i have ordered from your website have still not arrived yet it has been over 3 weeks. i would like to be issued a refund swiftly and be redirected to more competent people. thank you for your assistance.",52,52
i got charged twice for the same payment. please removed the pending payment. thank you.,63,63
how can i check how much free spending i have left? i have some big purchases coming up and want to know where i can look for any info.,15,15
can you delete my account please?,55,55
"i need a new card, my current card is nearly expired.",9,9
what's the process for topping up my card?,62,62
the money i transferred didnt arrive,66,66
i am afraid to give you all my identify details.,74,74
does it cost to exchange currencies?,31,31
"i will need to exchange currencies frequently, will i be able to get a discount?",31,31
seems like my transfer was declined how come?,27,27
"i have a transfer from the us, how long is the wait?",67,67
how can i exchange aud for gbp?,33,33
"lost my phone, what is account security?",42,42
can i deposit my salary to this account?,50,50
my transfer didn't work! help!,35,35
i am in the eu. can i get one of your cards?,24,24
can you tell me how to get a disposable virtual card?,37,37
i bought an item and now i want a refund.,52,52
assist me please with card activation.,0,0
"how long does it typically take a transfer to go through? i sent some money to a friend earlier today, and she really needs it. it still is a pending transfer, even though i sent it a few hours ago.",66,66
i am seeing in the app a payment that its not mine,16,16
please explain the extra fee when i paid with the card.,15,15
"my salary is received in the form of gbp. is it necessary to configure this? if so, where is this done?",50,50
is there something that i can do since my phone was stolen yesterday?,42,42
"if i want to exchange currency, will there be extras?",31,31
can i use my american express card to add money into my account?,54,54
who can put money in my account?,70,70
are there any places that won't take my card?,10,10
what is the extra 1 fee in my statement,34,34
please let me know how to place an order for a virtual card,40,40
i need to top up by card.,62,62
please list the countries you support.,24,24
"hello, i am facing the issue with my new card as payments are declining again and again. please help me in this issue.",25,25
i have not been able to use this card.,14,14
the card pin?,38,38
"ive been trying to use my card for two weeks now to purchase somethings online but nothing is going through. it keeps returning my payment to my account. there shouldn't be anything wrong with my account, is it the card?",53,53
what should i do if i've tried to enter my pin too often?,49,49
will i get a visa or mastercard?,73,73
what's the amount that i can topup?,60,60
where can i find the card pin?,38,38
a fee was charged for my recent withdrawal.,19,19
why has a transaction to a friend been delayed?,66,66
"i need to bank account transfer from another account into this one, what is the easiest way that can be done, and what information do i need?",65,65
i can't remember what my password is,44,44
could you please freeze my card immediately?,41,41
where can my card be used?,10,10
"i received my card, how do i get it to show in the app?",13,13
where did my money come from?,70,70
"i did a cash deposit to my account, but i am not seeing it on my statement.",6,6
can i use my new card?,0,0
please give me a mastercard instead.,73,73
please explain the charge of 1l in error. i have purchased nothing in this amount.,34,34
double check your funds may be declined,27,27
i didn't know there was a charge for tranferring. what is the charge?,64,64
"hi, i want to inquire about my balance. some cash was deposited and it hasn't updated yet.",6,6
"my pin number was incorrect, and i can't access it.",49,49
"i would like to order a virtual card, where can i get one?",40,40
i am not happy with your company. please delete my account asap.,55,55
"my card payment has been declined, do you know why?",25,25
what should i do if the passcode doesn't work for me?,44,44
where are my funds being sourced from?,70,70
why are you charging me a transfer fee?,64,64
why haven't i gotten a virtual card yet?,40,40
i want to get a card but i live in the us,24,24
how can i dispute a direct debit charge on my account?,28,28
my top up is giving me problems. what is wrong with it?,59,59
can i set it up to add money every few days automatically while i am traveling?,4,4
is there a limit to a disposable virtual card?,29,29
my topup was rejected,59,59
is eur one of the currencies you deal with?,36,36
i didn't receive the correct exchange rate for an item that i bought.,17,17
where can i use this card?,10,10
what are the most current exchange rates?,32,32
"hi, i was checking my old statements and found a discrepancy with a large amount transaction. i am sure it was not done by me. please let me know if i could raise a dispute as its very late.",28,28
"i need to verify my identity, but how do i do that?",69,69
i have a new card. how do i top it up?,62,62
where can i reset the passcode?,44,44
where do you find your exchange rates?,32,32
what places will accept my card?,10,10
"how long does it take to transfer money, my retailer is waiting",66,66
let me know how many disposable cards i can have?,29,29
why is it taking so long to update my balance transfer?,5,5
tell me why my transfer was declined.,27,27
"i need a refund from you because the merchant is refusing, can you do that?",51,51
my top up isnt working,59,59
foreign currency rates were put in wrong at an atm i used.,76,76
what fiat currencies do you allow exchange with?,36,36
"i want to get rid of the account, and delete personal information .",55,55
"i just topped up, and the app denied it.",59,59
i added funds to my account but the app didn't process it.,59,59
i transferred money to my account but it is not showing.,5,5
"card payment was declined, do you know why?",25,25
i would like my card activated.,0,0
why didn't this transfer work?,35,35
the exchange rate was wrong when i bought something outside the country.,17,17
please help me unblock my pin which i put the wrong one too many times.,49,49
"my account says there are pending funds right now from withdrawing from an atm, but my card was declined and i never took out any money. when will that money be deposited back into my account?",46,46
my exchange rate isn't correct.,17,17
i have a payment listed in error.,16,16
would i be able to top up as much as i can?,60,60
"help, i need to top up my account. where do i send a check?",58,58
it has been forever ago that i made an order online. the product simply is not coming. just give me back my money because i'm not paying these people.,52,52
do you provide currency exchange to euros?,36,36
how can i report that my card was stolen? i made a police report first.,41,41
my credit card was just denied for top up! can you tell me why this happened and what's going on?,59,59
what is the leadtime for a new card to show up in the mail?,12,12
what are the steps for depositing cash into my account?,58,58
do i need to verify my identity to use my account?,74,74
i do not think the pop up went through yet.,47,47
"as i double checked that i have the correct account details that i submitted , they're right for sure. transfer is still pending so far.",48,48
"if i want to add funds to the account using american express, how do i do that?",54,54
how long should i have to wait before i see the transfer in my account?,67,67
why am i to verify the topups?,71,71
i tried to buy something online yesterday and got a message saying declined. i tried again today and got the same message. what's the problem?,27,27
i have kids and i'm curious at what age could they start to use your service.,1,1
hi i'm waiting for a refund for an item i bought. i have contacted the merchant directly but had nothing back. can you tell me whether or not you are able to refund me for the item?,51,51
"i used my card to make a payment a while ago and its still pending, why is it taking so long?",45,45
i would like to alter my personal details.,30,30
"i am waiting patiently for a week now for the seller to get back to me and there has been no response, could you please help me further with getting my money back. thank you.",51,51
are there any atm's near me that accept this card?,3,3
there is no way for me to prove my identity.,68,68
"help! i tried to get cash and it gave me some, but not the right amount!",75,75
"my transfer is quite urgent, and finally worked out, but i've been waiting for it for quite some time. can you tell me how long to expect to wait for it?",48,48
why would a transfer fail?,35,35
how do i replace my card?,9,9
can i top up using an international card,57,57
where did your guys exchange rates come from?,32,32
do i have to go to the bank to change my pin?,21,21
are there steps i need to take before my card expires?,9,9
the atm at metro bank on high st. kensington swallowed my card. how do i get it back?,18,18
can you tell me how transferring money into my account works?,65,65
a fee shouldn't apply to me if my card was stolen.,41,41
"i requested a refund from a merchant several days ago, but don't see anything showing up in my account yet. can you check on your end to see if the money has reached you guys?",51,51
can i top up using my apple watch?,2,2
how much does it cost to get more cards?,39,39
the cash i asked for still hasn't been received,75,75
why can't i use a disposable card?,29,29
why did it cost money to transfer funds?,64,64
what is the time frame for a transfer from the us?,67,67
which countries do you support?,24,24
"my card payment is showing up as pending for a very long time, what's going on with that, it should be going through at some point?",45,45
i want to top up by cheque,58,58
what do i need to see my source of money?,70,70
please check payments on my card. there is a duplicate and i only bought it once.,63,63
can you please check why i am having this extra fee on my statement.,34,34
why was my card payment reverted?,53,53
what are age requirements for opening an account?,1,1
"i was charged twice for a restaurant, can you take the second charge off?",63,63
where'd the rest of my cash go from the atm,75,75
i was only given 20 after trying to withdraw 100,75,75
how can i cancel a transfer?,8,8
how do i use cash to top up my account?,58,58
it can take between 10 minutes to an hour before you hear back from us about the verification result. please try again if your verification fails. make sure you double check that images are clear and all document photos are readable without blur or glare. you have to be 18 or older and live in the european economic area or live in switzerland to be able to open an account.,68,68
"i'd like to make a sepa transfer to my account, but will i be charged?",56,56
why was my transaction declined?,35,35
when will i receive a transfer from europe?,67,67
places i can use the card,10,10
what is the highest amount i can topup?,60,60
no option to top up with a cheque ?,58,58
can i get an account for my daughter?,1,1
can i get my salary through this?,50,50
will my transfer immediately show up in my account?,67,67
can i change my pin at any atm?,21,21
